PID,keywords,mods.grants,mods.abstract,fgs.state,dc.title,dc.language,mods.sm_key_words,fgs.lastModifiedDate,mods.sm_collection,mods.language,mods.title,mods.sm_report_number,dc.subject,mods.sm_corporate_creator,rdf.isOpenAccess,mods.origin,dc.description,mods.raw_date,mods.sm_format,mods.sm_oclc_number,rdf.redirectsTo,mods.sm_geographical_coverage,mods.subject_topic,fgs.createdDate,mods.sm_ntl_classification,mods.sm_resource_type,mods.sm_edition,mods.sm_corporate_publisher,DS1.mimetype_txt_en,DS1.label_txt_en,DS1.filesize_tl,DS1.checksum_txt_en,mods.ss_publishyear,fgs.ownerId,rdf.isMemberOf,dc.identifier,mods.sm_creator,fgs.label,rdf.isPeerTo,mods.sm_digital_object_identifier,mods.ss_jobid,DS2.mimetype_txt_en,DS2.label_txt_en,DS2.filesize_tl,DS2.checksum_txt_en,DS2.sourceurl,dc.publisher,dc.format,dc.type,dc.creator,dc.coverage,DS1.sourceurl,mods.orcidId,mods.sm_contributor,dc.contributor,mods.alt_title,mods.note,mods.sm_corporate_contributor,DS_EXCEL.mimetype_txt_en,DS_EXCEL.label_txt_en,DS_EXCEL.filesize_tl,DS_EXCEL.checksum_txt_en,mods.sm_contracting_officer,DS3.mimetype_txt_en,DS3.label_txt_en,DS3.filesize_tl,DS3.checksum_txt_en,DS3.sourceurl,DS4.mimetype_txt_en,DS4.label_txt_en,DS4.filesize_tl,DS4.checksum_txt_en,DS4.sourceurl,mods.sm_alternate_url,mods.table_of_contents,rdf.underCategory,rdf.hasOrder,rdf.isCollection,rdf.categoryOrder,rdf.isFeaturedCollection,mods.sm_rights_statement,mods.related_series,DS_MS_NON_EXCEL.mimetype_txt_en,DS_MS_NON_EXCEL.label_txt_en,DS_MS_NON_EXCEL.filesize_tl,DS_MS_NON_EXCEL.checksum_txt_en,mods.sm_tris_online_accession_number,rdf.hasExternalLink,rdf.hasMoreDocuments,DS5.mimetype_txt_en,DS5.label_txt_en,DS5.filesize_tl,DS5.checksum_txt_en,DS5.sourceurl,DS10.mimetype_txt_en,DS10.label_txt_en,DS10.filesize_tl,DS10.checksum_txt_en,DS10.sourceurl,DS11.mimetype_txt_en,DS11.label_txt_en,DS11.filesize_tl,DS11.checksum_txt_en,DS11.sourceurl,DS12.mimetype_txt_en,DS12.label_txt_en,DS12.filesize_tl,DS12.checksum_txt_en,DS12.sourceurl,DS13.mimetype_txt_en,DS13.label_txt_en,DS13.filesize_tl,DS13.checksum_txt_en,DS13.sourceurl,DS14.mimetype_txt_en,DS14.label_txt_en,DS14.filesize_tl,DS14.checksum_txt_en,DS14.sourceurl,DS15.mimetype_txt_en,DS15.label_txt_en,DS15.filesize_tl,DS15.checksum_txt_en,DS15.sourceurl,DS16.mimetype_txt_en,DS16.label_txt_en,DS16.filesize_tl,DS16.checksum_txt_en,DS16.sourceurl,DS17.mimetype_txt_en,DS17.label_txt_en,DS17.filesize_tl,DS17.checksum_txt_en,DS17.sourceurl,DS18.mimetype_txt_en,DS18.label_txt_en,DS18.filesize_tl,DS18.checksum_txt_en,DS18.sourceurl,DS6.mimetype_txt_en,DS6.label_txt_en,DS6.filesize_tl,DS6.checksum_txt_en,DS6.sourceurl,DS7.mimetype_txt_en,DS7.label_txt_en,DS7.filesize_tl,DS7.checksum_txt_en,DS7.sourceurl,DS8.mimetype_txt_en,DS8.label_txt_en,DS8.filesize_tl,DS8.checksum_txt_en,DS8.sourceurl,DS9.mimetype_txt_en,DS9.label_txt_en,DS9.filesize_tl,DS9.checksum_txt_en,DS9.sourceurl,DS_MS_NON_EXCEL.sourceurl,rdf.isSpotlightChild,rdf.isSupersededBy,mods.sm_isbn,mods.sm_issn,mods.physical_description,mods.sm_copyright_date,mods.sm_publisher,rdf.isGRFeaturedChild,rdf.isFeatured,rdf.featuredType,rdf.inSpotlight,rdf.featuredUrl,rdf.isGRFeatured,dc.rights,rdf.featuredPosition,rdf.featuredPositionTemp,DS19.mimetype_txt_en,DS19.label_txt_en,DS19.filesize_tl,DS19.checksum_txt_en,DS19.sourceurl,DS20.mimetype_txt_en,DS20.label_txt_en,DS20.filesize_tl,DS20.checksum_txt_en,DS20.sourceurl,DS21.mimetype_txt_en,DS21.label_txt_en,DS21.filesize_tl,DS21.checksum_txt_en,DS21.sourceurl,DS22.mimetype_txt_en,DS22.label_txt_en,DS22.filesize_tl,DS22.checksum_txt_en,DS22.sourceurl,DS23.mimetype_txt_en,DS23.label_txt_en,DS23.filesize_tl,DS23.checksum_txt_en,DS23.sourceurl,DS24.mimetype_txt_en,DS24.label_txt_en,DS24.filesize_tl,DS24.checksum_txt_en,DS24.sourceurl,DS25.mimetype_txt_en,DS25.label_txt_en,DS25.filesize_tl,DS25.checksum_txt_en,DS25.sourceurl,DS26.mimetype_txt_en,DS26.label_txt_en,DS26.filesize_tl,DS26.checksum_txt_en,DS26.sourceurl,DS27.mimetype_txt_en,DS27.label_txt_en,DS27.filesize_tl,DS27.checksum_txt_en,DS27.sourceurl,DS28.mimetype_txt_en,DS28.label_txt_en,DS28.filesize_tl,DS28.checksum_txt_en,DS28.sourceurl,DS29.mimetype_txt_en,DS29.label_txt_en,DS29.filesize_tl,DS29.checksum_txt_en,DS29.sourceurl,DS30.mimetype_txt_en,DS30.label_txt_en,DS30.filesize_tl,DS30.checksum_txt_en,DS30.sourceurl,DS31.mimetype_txt_en,DS31.label_txt_en,DS31.filesize_tl,DS31.checksum_txt_en,DS31.sourceurl,DS32.mimetype_txt_en,DS32.label_txt_en,DS32.filesize_tl,DS32.checksum_txt_en,DS32.sourceurl,DS33.mimetype_txt_en,DS33.label_txt_en,DS33.filesize_tl,DS33.checksum_txt_en,DS33.sourceurl,DS34.mimetype_txt_en,DS34.label_txt_en,DS34.filesize_tl,DS34.checksum_txt_en,DS34.sourceurl,rdf.quickLinkUrl,rdf.isQuickLink,rdf.underSection,DS_EXCEL.sourceurl,mods.embargo_date,rdf.hasDataset,rdf.hasPublication,mods.ss_keyvalue,mods.sm_researchhub_id,dc.date,dc.source,dc.identifier.uri,dc.contributor.author,dc.contributor.collaborator,dc.coverage.spatial,dc.contributor.creator,dc.relation.isPartOf,dc.description.abstract,dc.rights.accessRights,dc.relation.isVersionOf,dc.contributor.consultant,dc.description.tableOfContents,dc.title.alternative,DS1.checksumsha256_txt_en,rdf.hasMultipleLanguage,DS2.checksumsha256_txt_en,DS3.checksumsha256_txt_en,DS4.checksumsha256_txt_en,DS5.checksumsha256_txt_en,DS6.checksumsha256_txt_en,DS7.checksumsha256_txt_en,mods.ss_hasQLOrder,DS_MS_NON_EXCEL.checksumsha256_txt_en,dc.relation.isReferencedBy,DS10.checksumsha256_txt_en,DS11.checksumsha256_txt_en,DS12.checksumsha256_txt_en,DS13.checksumsha256_txt_en,DS14.checksumsha256_txt_en,DS15.checksumsha256_txt_en,DS16.checksumsha256_txt_en,DS17.checksumsha256_txt_en,DS18.checksumsha256_txt_en,DS8.checksumsha256_txt_en,DS9.checksumsha256_txt_en
dot:33215,,,,Active,"Investigation of Aircraft Accident: PIPER E-2: FULTON\, KENTUCKY: 1943-12-12",English,"Accident analysis,Accident causes,Accident characteristics,Accident investigation,Accident types,Air transportation,Aircraft accidents,Aircraft collisions,Airlines,Aviation safety,Casualties,Civil aviation,Fatalities,Injury rates,Injury severity,Midair collisions,Near midair collisions,Passengers,Fires",2018-06-12T12:22:45.647Z,Investigations of Aircraft Accidents 1934-1965,English,"Investigation of Aircraft Accident: PIPER E-2: FULTON, KENTUCKY: 1943-12-12",4921-43,,Civil Aeronautics Board,true,"1943-12-12; \,","https://doi.org/10.21949/1500319,1943,PDF,Text,4921-43,Accident analysis,Accident causes,Accident characteristics,Accident investigation,Accident types,Air transportation,Aircraft accidents,Aircraft collisions,Airlines,Aviation safety,Casualties,Civil aviation,Fatalities,Injury rates,Injury severity,Midair collisions,Near midair collisions,Passengers,Fires,FULTON\, KENTUCKY,Civil Aeronautics Board,Civil Aeronautics Board,PIPER E-2,Investigations of Aircraft Accidents 1934-1965",1943-12-12,PDF,,,"FULTON\, KENTUCKY",,2017-12-18T17:29:17.103Z,,Text,,Civil Aeronautics Board,application/pdf,121243.pdf,49519,urn:sha256:3858cc507139a76492427fd0c13602bde19b528e34614062b834f3236e9b5e3e,1943,,dot:32931,,,,,https://doi.org/10.21949/1500319,,,,,,,,,,,,121243.pdf,,,,,,PIPER E-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:33159,,,,Active,"Investigation of Aircraft Accident: STEARMAN C-3-B: BOBO\, MISSISSIPPI: 1943-10-01",English,"Accident analysis,Accident causes,Accident characteristics,Accident investigation,Accident types,Air transportation,Aircraft accidents,Aircraft collisions,Airlines,Aviation safety,Casualties,Civil aviation,Fatalities,Injury rates,Injury severity,Midair collisions,Near midair collisions,Passengers,Fires",2018-06-12T12:21:28.621Z,Investigations of Aircraft Accidents 1934-1965,English,"Investigation of Aircraft Accident: STEARMAN C-3-B: BOBO, MISSISSIPPI: 1943-10-01",4301-43,,Civil Aeronautics Board,true,"1943-10-01; \,","https://doi.org/10.21949/1500263,1943,PDF,Text,4301-43,Accident analysis,Accident causes,Accident characteristics,Accident investigation,Accident types,Air transportation,Aircraft accidents,Aircraft collisions,Airlines,Aviation safety,Casualties,Civil aviation,Fatalities,Injury rates,Injury severity,Midair collisions,Near midair collisions,Passengers,Fires,BOBO\, MISSISSIPPI,Civil Aeronautics Board,Civil Aeronautics Board,STEARMAN C-3-B,Investigations of Aircraft Accidents 1934-1965",1943-10-01,PDF,,,"BOBO\, MISSISSIPPI",,2017-12-18T17:27:46.417Z,,Text,,Civil Aeronautics Board,application/pdf,100143A.pdf,89255,urn:sha256:2293b36bebb2baa84cd1c2d2b5cf8db0b7b79fffddb39c0ae72655662a548c7e,1943,,dot:32931,,,,,https://doi.org/10.21949/1500263,,,,,,,,,,,,100143A.pdf,,,,,,STEARMAN C-3-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:33422,,,,Active,"Investigation of Aircraft Accident: UNITED AIR LINES: NEAR REDWOOD CITY\, CALIFORNIA: 1951-09-12",English,"Accident analysis,Accident causes,Accident characteristics,Accident investigation,Accident types,Air transportation,Aircraft accidents,Aircraft collisions,Airlines,Aviation safety,Casualties,Civil aviation,Fatalities,Injury rates,Injury severity,Midair collisions,Near midair collisions,Passengers,Fires",2018-06-12T12:25:54.018Z,Investigations of Aircraft Accidents 1934-1965,English,"Investigation of Aircraft Accident: UNITED AIR LINES: NEAR REDWOOD CITY, CALIFORNIA: 1951-09-12",1-0089,,Civil Aeronautics Board,true,"1951-09-12; \,","https://doi.org/10.21949/1500547,1951,PDF,Text,1-0089,Accident analysis,Accident causes,Accident characteristics,Accident investigation,Accident types,Air transportation,Aircraft accidents,Aircraft collisions,Airlines,Aviation safety,Casualties,Civil aviation,Fatalities,Injury rates,Injury severity,Midair collisions,Near midair collisions,Passengers,Fires,NEAR REDWOOD CITY\, CALIFORNIA,Civil Aeronautics Board,Civil Aeronautics Board,UNITED AIR LINES,Investigations of Aircraft Accidents 1934-1965",1951-09-12,PDF,,,"NEAR REDWOOD CITY\, CALIFORNIA",,2017-12-18T17:35:36.473Z,,Text,,Civil Aeronautics Board,application/pdf,091251.pdf,789141,urn:sha256:05ef876817637ab37431325f1ebce78c400b53cbe905268bb366d9b5132d23f3,1951,,dot:32931,,,,,https://doi.org/10.21949/1500547,,,,,,,,,,,,091251.pdf,,,,,,UNITED AIR LINES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:33509,,,,Active,"Investigation of Aircraft Accident: LOCKHEED LODESTAR: GLASTONBURY\, CONN.: 1954-11-05",English,"Accident analysis,Accident causes,Accident characteristics,Accident investigation,Accident types,Air transportation,Aircraft accidents,Aircraft collisions,Airlines,Aviation safety,Casualties,Civil aviation,Fatalities,Injury rates,Injury severity,Midair collisions,Near midair collisions,Passengers,Fires",2018-06-12T12:27:20.951Z,Investigations of Aircraft Accidents 1934-1965,English,"Investigation of Aircraft Accident: LOCKHEED LODESTAR: GLASTONBURY, CONN.: 1954-11-05",2-0046,,Civil Aeronautics Board,true,"1954-11-05; \,","https://doi.org/10.21949/1500634,1954,PDF,Text,2-0046,Accident analysis,Accident causes,Accident characteristics,Accident investigation,Accident types,Air transportation,Aircraft accidents,Aircraft collisions,Airlines,Aviation safety,Casualties,Civil aviation,Fatalities,Injury rates,Injury severity,Midair collisions,Near midair collisions,Passengers,Fires,GLASTONBURY\, CONN.,Civil Aeronautics Board,Civil Aeronautics Board,LOCKHEED LODESTAR,Investigations of Aircraft Accidents 1934-1965",1954-11-05,PDF,,,"GLASTONBURY\, CONN.",,2017-12-18T17:38:22.104Z,,Text,,Civil Aeronautics Board,application/pdf,110554.pdf,439967,urn:sha256:c19c69c7f8b186455cfaa32b3bfc5b272b68a9cc21aa62339d506c263550f820,1954,,dot:32931,,,,,https://doi.org/10.21949/1500634,,,,,,,,,,,,110554.pdf,,,,,,LOCKHEED LODESTAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:33312,,,,Active,"Investigation of Aircraft Accident: AERONCA C-3: NEAR FULTON\, MISSOURI: 1947-08-27",English,"Accident analysis,Accident causes,Accident characteristics,Accident investigation,Accident types,Air transportation,Aircraft accidents,Aircraft collisions,Airlines,Aviation safety,Casualties,Civil aviation,Fatalities,Injury rates,Injury severity,Midair collisions,Near midair collisions,Passengers,Fires",2018-06-12T12:24:20.388Z,Investigations of Aircraft Accidents 1934-1965,English,"Investigation of Aircraft Accident: AERONCA C-3: NEAR FULTON, MISSOURI: 1947-08-27",4-2765-47,,Civil Aeronautics Board,true,"1947-08-27; \,","https://doi.org/10.21949/1500416,1947,PDF,Text,4-2765-47,Accident analysis,Accident causes,Accident characteristics,Accident investigation,Accident types,Air transportation,Aircraft accidents,Aircraft collisions,Airlines,Aviation safety,Casualties,Civil aviation,Fatalities,Injury rates,Injury severity,Midair collisions,Near midair collisions,Passengers,Fires,NEAR FULTON\, MISSOURI,Civil Aeronautics Board,Civil Aeronautics Board,AERONCA C-3,Investigations of Aircraft Accidents 1934-1965",1947-08-27,PDF,,,"NEAR FULTON\, MISSOURI",,2017-12-18T17:32:14.844Z,,Text,,Civil Aeronautics Board,application/pdf,082747.pdf,40424,urn:sha256:8bc65348375fa1ade56baa519bee572f526acc763abd206de0770d9750b5e10f,1947,,dot:32931,,,,,https://doi.org/10.21949/1500416,,,,,,,,,,,,082747.pdf,,,,,,AERONCA C-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:33476,,,,Active,"Investigation of Aircraft Accident: EASTERN AIRLINES: NEW YORK INTERNATIONAL AIRPORT\, JAMAICA\, NEW YORK: 1953-10-19",English,"Accident analysis,Accident causes,Accident characteristics,Accident investigation,Accident types,Air transportation,Aircraft accidents,Aircraft collisions,Airlines,Aviation safety,Casualties,Civil aviation,Fatalities,Injury rates,Injury severity,Midair collisions,Near midair collisions,Passengers,Fires",2018-06-12T12:26:44.508Z,Investigations of Aircraft Accidents 1934-1965,English,"Investigation of Aircraft Accident: EASTERN AIRLINES: NEW YORK INTERNATIONAL AIRPORT, JAMAICA, NEW YORK: 1953-10-19",1-0087,,Civil Aeronautics Board,true,"1953-10-19; \,","https://doi.org/10.21949/1500601,1953,PDF,Text,1-0087,Accident analysis,Accident causes,Accident characteristics,Accident investigation,Accident types,Air transportation,Aircraft accidents,Aircraft collisions,Airlines,Aviation safety,Casualties,Civil aviation,Fatalities,Injury rates,Injury severity,Midair collisions,Near midair collisions,Passengers,Fires,NEW YORK INTERNATIONAL AIRPORT\, JAMAICA\, NEW YORK,Civil Aeronautics Board,Civil Aeronautics Board,EASTERN AIRLINES,Investigations of Aircraft Accidents 1934-1965",1953-10-19,PDF,,,"NEW YORK INTERNATIONAL AIRPORT\, JAMAICA\, NEW YORK",,2017-12-18T17:37:21.032Z,,Text,,Civil Aeronautics Board,application/pdf,101953.pdf,843233,urn:sha256:4773f6e688b7d68b94560f7135aa895fd7532e503dd63ad476e0a7b2601ff97f,1953,,dot:32931,,,,,https://doi.org/10.21949/1500601,,,,,,,,,,,,101953.pdf,,,,,,EASTERN AIRLINES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:33147,,,,Active,Investigation of Aircraft Accident: PORTERFIELD CP-50: STAMFORD TEXAS: 1943-09-12,English,"Accident analysis,Accident causes,Accident characteristics,Accident investigation,Accident types,Air transportation,Aircraft accidents,Aircraft collisions,Airlines,Aviation safety,Casualties,Civil aviation,Fatalities,Injury rates,Injury severity,Midair collisions,Near midair collisions,Passengers,Fires",2018-06-12T12:21:14.873Z,Investigations of Aircraft Accidents 1934-1965,English,Investigation of Aircraft Accident: PORTERFIELD CP-50: STAMFORD TEXAS: 1943-09-12,3856-43,,Civil Aeronautics Board,true,"1943-09-12; \,","https://doi.org/10.21949/1500251,1943,PDF,Text,3856-43,Accident analysis,Accident causes,Accident characteristics,Accident investigation,Accident types,Air transportation,Aircraft accidents,Aircraft collisions,Airlines,Aviation safety,Casualties,Civil aviation,Fatalities,Injury rates,Injury severity,Midair collisions,Near midair collisions,Passengers,Fires,STAMFORD TEXAS,Civil Aeronautics Board,Civil Aeronautics Board,PORTERFIELD CP-50,Investigations of Aircraft Accidents 1934-1965",1943-09-12,PDF,,,STAMFORD TEXAS,,2017-12-18T17:27:23.107Z,,Text,,Civil Aeronautics Board,application/pdf,091243A.pdf,54214,urn:sha256:b843224d3ac8085123dc4b4a3fe41c0d7814c2f06e4ca2895c309379e5313b90,1943,,dot:32931,,,,,https://doi.org/10.21949/1500251,,,,,,,,,,,,091243A.pdf,,,,,,PORTERFIELD CP-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:33063,,,,Active,"Investigation of Aircraft Accident: TRANSCONTINENTAL & WESTERN AIR\, INC.: DAYTON\, OHIO: 1942-06-27",English,"Accident analysis,Accident causes,Accident characteristics,Accident investigation,Accident types,Air transportation,Aircraft accidents,Aircraft collisions,Airlines,Aviation safety,Casualties,Civil aviation,Fatalities,Injury rates,Injury severity,Midair collisions,Near midair collisions,Passengers,Fires",2018-06-12T12:19:12.125Z,Investigations of Aircraft Accidents 1934-1965,English,"Investigation of Aircraft Accident: TRANSCONTINENTAL & WESTERN AIR, INC.: DAYTON, OHIO: 1942-06-27",1174-42,,Civil Aeronautics Board,true,"1942-06-27; \,","https://doi.org/10.21949/1500167,1942,PDF,Text,1174-42,Accident analysis,Accident causes,Accident characteristics,Accident investigation,Accident types,Air transportation,Aircraft accidents,Aircraft collisions,Airlines,Aviation safety,Casualties,Civil aviation,Fatalities,Injury rates,Injury severity,Midair collisions,Near midair collisions,Passengers,Fires,DAYTON\, OHIO,Civil Aeronautics Board,Civil Aeronautics Board,TRANSCONTINENTAL & WESTERN AIR\, INC.,Investigations of Aircraft Accidents 1934-1965",1942-06-27,PDF,,,"DAYTON\, OHIO",,2017-12-18T17:24:55.989Z,,Text,,Civil Aeronautics Board,application/pdf,062742.pdf,701786,urn:sha256:667d2e2c95ae3b9c822ab8c48008b6e92ec751e3a49bf119a035bce2607a040c,1942,,dot:32931,,,,,https://doi.org/10.21949/1500167,,,,,,,,,,,,062742.pdf,,,,,,"TRANSCONTINENTAL & WESTERN AIR\, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:33437,,,,Active,"Investigation of Aircraft Accident: NORTHWEST AIRLINES: SANDSPIT\, BRITISH COLUMBIA: 1952-01-19",English,"Accident analysis,Accident causes,Accident characteristics,Accident investigation,Accident types,Air transportation,Aircraft accidents,Aircraft collisions,Airlines,Aviation safety,Casualties,Civil aviation,Fatalities,Injury rates,Injury severity,Midair collisions,Near midair collisions,Passengers,Fires",2018-05-22T17:03:27.330Z,Investigations of Aircraft Accidents 1934-1965,English,"Investigation of Aircraft Accident: NORTHWEST AIRLINES: SANDSPIT, BRITISH COLUMBIA: 1952-01-19",1-0017,,Civil Aeronautics Board,true,"1952-01-19; \,","https://doi.org/10.21949/1500562,1952,PDF,Text,1-0017,Accident analysis,Accident causes,Accident characteristics,Accident investigation,Accident types,Air transportation,Aircraft accidents,Aircraft collisions,Airlines,Aviation safety,Casualties,Civil aviation,Fatalities,Injury rates,Injury severity,Midair collisions,Near midair collisions,Passengers,Fires,SANDSPIT\, BRITISH COLUMBIA,Civil Aeronautics Board,Civil Aeronautics Board,Investigations of Aircraft Accidents 1934-1965",1952-01-19,PDF,,,"SANDSPIT\, BRITISH COLUMBIA",,2017-12-18T17:36:05.860Z,,Text,,Civil Aeronautics Board,application/pdf,011952A.pdf,939095,urn:sha256:c7b5843c727d97597c1bc3d8ee7538f24a436988390df5978f6311f6f294ebbf,1952,,dot:32931,,,,,https://doi.org/10.21949/1500562,,,,,,,,,,,,011952A.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:33518,,,,Active,"Investigation of Aircraft Accident: LOCKHEED LODESTAR: WHITE PLAINS\, NEW YORK: 1954-12-18",English,"Accident analysis,Accident causes,Accident characteristics,Accident investigation,Accident types,Air transportation,Aircraft accidents,Aircraft collisions,Airlines,Aviation safety,Casualties,Civil aviation,Fatalities,Injury rates,Injury severity,Midair collisions,Near midair collisions,Passengers,Fires",2018-06-12T12:27:27.950Z,Investigations of Aircraft Accidents 1934-1965,English,"Investigation of Aircraft Accident: LOCKHEED LODESTAR: WHITE PLAINS, NEW YORK: 1954-12-18",,,Civil Aeronautics Board,true,"1954-12-18; \,","https://doi.org/10.21949/1500643,1954,PDF,Text,Accident analysis,Accident causes,Accident characteristics,Accident investigation,Accident types,Air transportation,Aircraft accidents,Aircraft collisions,Airlines,Aviation safety,Casualties,Civil aviation,Fatalities,Injury rates,Injury severity,Midair collisions,Near midair collisions,Passengers,Fires,WHITE PLAINS\, NEW YORK,Civil Aeronautics Board,Civil Aeronautics Board,LOCKHEED LODESTAR,Investigations of Aircraft Accidents 1934-1965",1954-12-18,PDF,,,"WHITE PLAINS\, NEW YORK",,2017-12-18T17:38:36.545Z,,Text,,Civil Aeronautics Board,application/pdf,121854B.pdf,64931,urn:sha256:be0912e7020f2fb86dd379b2d68b9a55760ceede23d7ef8e0d73cf5eb250bae5,1954,,dot:32931,,,,,https://doi.org/10.21949/1500643,,,,,,,,,,,,121854B.pdf,,,,,,LOCKHEED LODESTAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
